INSERT INTO `users`(`userName`, `userEmail`, `userPassword`, `userHighscore`, `userRank`, `userElo`) VALUES
('graphicdrown','graphicdrown@outlook.com','graphicdrown',34337,'Silver',9660),
('stabledigital','stabledigital@gmail.com','stabledigital',15665,'Bronze',919),
('stablearrow','stablearrow@yahoomail.com','stablearrow',38834,'Silver',9171),
('curtainfootball','curtainfootball@gmail.com','curtainfootball',99722,'Grandmaster',5725),
('representglare','representglare@outlook.com','representglare',5703,'Diamond',4142),
('opiniondictionary','opiniondictionary@outlook.com','opiniondictionary',72533,'Plat',8904),
('clearanceserve','clearanceserve@yahoomail.com','clearanceserve',27893,'Iron',6172),
('velvetrough','velvetrough@outlook.com','velvetrough',48876,'Runner',6528),
('affordrecover','affordrecover@outlook.com','affordrecover',11403,'Silver',3358),
('bulletreview','bulletreview@outlook.com','bulletreview',3334,'Iron',9824),
('glimpseprogress','glimpseprogress@yahoomail.com','glimpseprogress',49445,'Grandmaster',7057),
('dismissaldrum','dismissaldrum@gmail.com','dismissaldrum',7492,'Runner',513),
('papermerit','papermerit@gmail.com','papermerit',17440,'Diamond',8672),
('literaturenursery','literaturenursery@gmail.com','literaturenursery',83255,'Iron',5946),
('paperfavourite','paperfavourite@outlook.com','paperfavourite',50443,'',5998),
('listenduty','listenduty@gmail.com','listenduty',61965,'Grandmaster',8223),
('babyfeedback','babyfeedback@gmail.com','babyfeedback',91364,'Diamond',1173),
('corpsemail','corpsemail@gmail.com','corpsemail',1373,'',4913),
('routesmall','routesmall@gmail.com','routesmall',14868,'Bronze',39),
('lilypreach','lilypreach@gmail.com','lilypreach',52135,'Gold',8744),
('cancernursery','cancernursery@yahoomail.com','cancernursery',29098,'',3637),
('mentionadopt','mentionadopt@outlook.com','mentionadopt',27295,'Silver',6965),
('accompanyconsultation','accompanyconsultation@outlook.com','accompanyconsultation',74039,'Silver',9054),
('selectionsiege','selectionsiege@outlook.com','selectionsiege',8688,'Master',3626),
('possessionwarrant','possessionwarrant@gmail.com','possessionwarrant',90250,'Silver',9082),
('bangequip','bangequip@outlook.com','bangequip',91834,'Silver',8704),
('canevegetation','canevegetation@gmail.com','canevegetation',58335,'Plat',967),
('possiblesequence','possiblesequence@gmail.com','possiblesequence',3293,'Grandmaster',8442),
('eraexchange','eraexchange@outlook.com','eraexchange',96189,'Silver',7961),
('calorieresist','calorieresist@yahoomail.com','calorieresist',84695,'Grandmaster',7600),
('printeraccurate','printeraccurate@gmail.com','printeraccurate',53492,'',5793),
('refundfuss','refundfuss@gmail.com','refundfuss',51034,'Silver',6608),
('tiptoediet','tiptoediet@yahoomail.com','tiptoediet',36067,'Plat',334),
('bragspontaneous','bragspontaneous@outlook.com','bragspontaneous',41614,'Runner',5443),
('recordingprint','recordingprint@gmail.com','recordingprint',50817,'Runner',3970),
('trenchchocolate','trenchchocolate@outlook.com','trenchchocolate',23175,'Iron',1431),
('descentgradual','descentgradual@gmail.com','descentgradual',52276,'Plat',5635),
('charterexemption','charterexemption@gmail.com','charterexemption',45492,'Master',7799),
('checktrunk','checktrunk@outlook.com','checktrunk',2545,'Silver',4642),
('interestfish','interestfish@yahoomail.com','interestfish',16056,'Grandmaster',407),
('faxglare','faxglare@outlook.com','faxglare',33874,'Plat',7625),
('bragsmall','bragsmall@outlook.com','bragsmall',43167,'Diamond',9520),
('illusionfollow','illusionfollow@outlook.com','illusionfollow',26005,'Master',7530),
('standcancer','standcancer@outlook.com','standcancer',50792,'Silver',7556),
('digitalprint','digitalprint@outlook.com','digitalprint',62673,'Bronze',1424),
('hurtrecording','hurtrecording@yahoomail.com','hurtrecording',44489,'Master',9325),
('latestage','latestage@gmail.com','latestage',88203,'Grandmaster',684),
('pleasantaward','pleasantaward@gmail.com','pleasantaward',42065,'Master',8186),
('awardgoat','awardgoat@gmail.com','awardgoat',77307,'Runner',5238),
('mentiondoubt','mentiondoubt@gmail.com','mentiondoubt',75496,'Iron',3595),
('coupposition','coupposition@outlook.com','coupposition',88475,'',7991),
('cancerposition','cancerposition@outlook.com','cancerposition',33816,'Plat',7691),
('uncertaintycheck','uncertaintycheck@outlook.com','uncertaintycheck',13242,'Plat',8478),
('describemerit','describemerit@outlook.com','describemerit',17638,'Gold',3025),
('fistpush','fistpush@outlook.com','fistpush',48171,'Grandmaster',5316),
('descentumbrella','descentumbrella@outlook.com','descentumbrella',6444,'Gold',2211),
('accurateblade','accurateblade@yahoomail.com','accurateblade',51793,'Iron',3730),
('stretchrough','stretchrough@gmail.com','stretchrough',84802,'',1697),
('fishlace','fishlace@gmail.com','fishlace',77016,'Grandmaster',7381),
('ancestorcrackpot','ancestorcrackpot@yahoomail.com','ancestorcrackpot',50932,'Runner',428),
('valleygreeting','valleygreeting@gmail.com','valleygreeting',9036,'Iron',9266),
('refundabsence','refundabsence@yahoomail.com','refundabsence',66830,'Iron',1188),
('lightspontaneous','lightspontaneous@gmail.com','lightspontaneous',84989,'Gold',4996),
('taxiserve','taxiserve@outlook.com','taxiserve',95186,'',4518),
